book-title,author,price,old-price,Cover type,availability
Mosquito,Rowland White,  £10.00,£20.00,Hardback,In stock online
A Day of… ,Samantha Shannon,  £8.49,£9.99,Paperback,In stock online
Pokemon… ,Pokemon,£9.99,no old price,Hardback,In stock online
Faebound,Saara El-Arifi,£16.99,no old price,Hardback,
The Book You… ,Philippa Perry,  £9.49,£18.99,Hardback,In stock online
The Very… ,Eric Carle,£7.99,no old price,Board book,In stock online
Foster,Claire Keegan,£8.99,no old price,Paperback,In stock online
We're Going… ,Martha Mumford,£7.99,no old price,Paperback,In stock online
The Priory of… ,Samantha Shannon,£10.99,no old price,Paperback,In stock online
Pub Kitchen,Tom Kerridge,  £13.50,£27.00,Hardback,In stock online
Catching Fire,Suzanne Collins,£8.99,no old price,Paperback,In stock online
The Gardening… ,Monty Don,  £28.00,£30.00,Hardback,In stock online
Loyalty,Martina Cole,  £12.50,£25.00,Hardback,In stock online
Dino Erasable… ,Legami,£1.99,no old price,General merchandise,In stock online
The… ,Greg Loades,  £4.99,£9.99,Hardback,In stock online
Better Than… ,Lynn Painter,£8.99,no old price,Paperback,In stock online
Europe… ,Museums And Gallerie,£1.99,no old price,Bookmark,In stock online
The Cruel… ,Holly Black,£8.99,no old price,Paperback,In stock online
White Holes,Carlo Rovelli,  £7.49,£14.99,Hardback,In stock online
Binding 13,Chloe Walsh,£9.99,no old price,Paperback,In stock online
The Seven… ,Bettany Hughes,  £20.99,£25.00,Hardback,In stock online
A Court of… ,Sarah J. Maas,£8.99,no old price,Paperback,In stock online
One Dark… ,Rachel Gillig,£10.99,no old price,Paperback,In stock online
Hercule… ,Sophie Hannah,  £11.00,£22.00,Hardback,In stock online
Murder Most… ,Dr Robin Stevens,£7.99,no old price,Paperback,In stock online
Dear Dolly,Dolly Alderton,  £7.99,£9.99,Paperback,In stock online
An Immense… ,Ed Yong,  £8.99,£10.99,Paperback,In stock online
Squeaky Clean,Callum McSorley,  £8.49,£9.99,Paperback,In stock online
The Alchemist,Paulo Coelho,£9.99,no old price,Paperback,In stock online
The… ,Margaret Atwood,£9.99,no old price,Paperback,In stock online
The Twist of a… ,Anthony Horowitz,  £8.49,£9.99,Paperback,In stock online
The Hike,Lucy Clarke,  £7.49,£8.99,Paperback,In stock online
Good Vibes… ,Vex King,£12.99,no old price,Paperback,In stock online
Hamnet,Maggie O'Farrell,£9.99,no old price,Paperback,In stock online
Traitors Gate,Jeffrey Archer,  £11.00,£22.00,Hardback,In stock online
Tabby McTat,Julia Donaldson,£7.99,no old price,Paperback,In stock online
Can't Spell… ,Rebecca Thorne,£22.00,no old price,Hardback,Pre-order
How to Make… ,Hayley Dean,  £18.99,£22.00,Hardback,In stock online
100%… ,100% Unofficial,£9.99,no old price,Hardback,In stock online
Howl’s… ,Diana Wynne Jones,£7.99,no old price,Paperback,In stock online
And Away...,Bob Mortimer,£9.99,no old price,Paperback,In stock online
Diary of a… ,Jeff Kinney,  £6.49,£7.99,Paperback,In stock online
Undoctored,Adam Kay,  £7.99,£9.99,Paperback,In stock online
Super Bounce… ,The Soure Wholesale,£6.99,no old price,Toy,In stock online
Bunny vs… ,Jamie Smart,£9.99,no old price,Paperback,In stock online
Dobble Connect,Asmodee,£14.99,no old price,Game,In stock online
Night Sky… ,Storm Dunlop,£9.99,no old price,Hardback,In stock online
Medea,Rosie Hewlett,£16.99,no old price,Hardback,Pre-order
Funny Story,Emily Henry,£18.99,no old price,Hardback,
SÍ SEÑOR,Roberto Firmino,  £15.99,£22.00,Hardback,In stock online
Where the… ,Delia Owens,  £7.99,£9.99,Paperback,In stock online
The Other Half,Charlotte Vassell,  £8.49,£9.99,Paperback,In stock online
Time Shelter,Georgi Gospodinov,£9.99,no old price,Paperback,In stock online
Spaceboy,David Walliams,  £6.49,£7.99,Paperback,In stock online
Poor Things,Alasdair Gray,£9.99,no old price,Paperback,In stock online
Black Holes,Professor Brian Cox,  £9.49,£10.99,Paperback,In stock online
The Extremely… ,Katie Kirby,£7.99,no old price,Paperback,In stock online
Pachinko,Min Jin Lee,£8.99,no old price,Paperback,In stock online
King of Wrath,Ana Huang,  £8.49,£9.99,Paperback,In stock online
Interesting… ,Jordan Moore,£10.90,no old price,Paperback,In stock online
The Life and… ,Benjamin Zephaniah,£10.99,no old price,Paperback,In stock online
Supertato:… ,Sue Hendra,  £6.49,£7.99,Paperback,In stock online
Dog Man,Dav Pilkey,£9.99,no old price,Paperback,In stock online
No Longer… ,Osamu Dazai,£10.99,no old price,Paperback,In stock online
Bad Luck And… ,Lee Child,£9.99,no old price,Paperback,In stock online
The Atlas Six,Olivie Blake,£9.99,no old price,Paperback,In stock online
The 48 Laws… ,Robert Greene,£18.99,no old price,Paperback,In stock online
Chip War,Chris Miller,  £9.49,£10.99,Paperback,In stock online
Colditz,Ben Macintyre,  £9.49,£10.99,Paperback,In stock online
Happy… ,Hype Associates     ,£2.99,no old price,Cards,In stock online
The Salt Path,Raynor Winn,£10.99,no old price,Paperback,In stock online
Love Untold,Ruth Jones,  £7.99,£9.99,Paperback,In stock online
The Cat Who… ,James Norbury,  £9.49,£18.99,Hardback,In stock online
The Concise… ,Robert Greene,£9.99,no old price,Paperback,In stock online
Alan… ,Alan Partridge,  £12.50,£25.00,Hardback,In stock online
How the… ,Dr. Seuss,£7.99,no old price,Paperback,In stock online
Throne of Glass,Sarah J. Maas,£8.99,no old price,Paperback,In stock online
The Island of… ,Elif Shafak,£9.99,no old price,Paperback,In stock online
Ugly Love,Colleen Hoover,  £7.49,£8.99,Paperback,In stock online
Harry Potter… ,J. K. Rowling,£7.99,no old price,Paperback,In stock online
I Am Pilgrim,Terry Hayes,£9.99,no old price,Paperback,In stock online
Tabby McTat… ,Julia Donaldson,£7.99,no old price,Paperback,In stock online
