num_of_people_rated,rating,discount,new_price,old_price,item name
,,45%,"₦ 13,957 - ₦ 15,748","₦ 25,400",Cute Girls Summer Princess Sandals Velcro Soft Sole Beach Shoe Child - Purple
4 out of 5(1),4 out of 5,,"₦ 19,900",,Hat & Shoe Rack ( For Multipurpose Use )
,,,"₦ 54,000",,Clarks Leather Coperate Work  Shoe
,,,"₦ 10,499",,Baby Soft Sole Booties Shoe
,,20%,"₦ 29,234","₦ 36,542",(Blue)Men's Dress Shoes PU Leather Fashion Men Business Loafers Pointed Toe Leather Shoes Oxfords Breathable Formal Wedding Shoes ACU
4.5 out of 5(2),4.5 out of 5,,"₦ 24,000",,Men Comfortable Black Slip-on  Shoe
,,40%,"₦ 28,170","₦ 47,267",Quality Ladies Black Flat Shoe Women
,,50%,"₦ 48,800","₦ 97,600",Leather Running Shoes For Boys Lace-up Kids Sneakers For Boys Brown
5 out of 5(1),5 out of 5,50%,"₦ 34,840","₦ 69,680",Men's Luxury Fashion Wedding Shoes
3.5 out of 5(2),3.5 out of 5,49%,"₦ 33,226","₦ 65,149",SocNoDn Mens Leather Loafers Casual Shoes Dark Brown
,,7%,"₦ 30,636","₦ 32,976",Men's Vintage Versatile Martin Boots
,,19%,"₦ 3,500","₦ 4,300",Non Marking T-Shaped Heel Liner
,,,"₦ 15,000",,Black Girls Low Heel Princess Shoe
,,31%,"₦ 51,678 - ₦ 52,578","₦ 75,000",Bullock Mens Shoes Big Size 48 Formal Oxford Party Dress Footwear Black
,,50%,"₦ 46,063","₦ 92,126",Italian Luxury Quality Men's Lace Up Brogue Oxfords Men Casual Shoes For Men Business Shoes Leather Formal Shoes Black
5 out of 5(1),5 out of 5,42%,"₦ 10,999","₦ 18,999",Ladies Everything Beautiful Unisex Running Sneakers – Easy Wears
,,10%,"₦ 54,610","₦ 60,960",Plus Size (39-46) Basketball Shoes High Top Men's Sneakers Black
,,50%,"₦ 5,500","₦ 11,000",Trendy Unisex Sneakers / Canvas - Black
5 out of 5(1),5 out of 5,35%,"₦ 39,784 - ₦ 48,082","₦ 61,026 - ₦ 68,320",Men's Thick-Soled Pointed Leather Shoes Business Shoes Red
5 out of 5(1),5 out of 5,50%,"₦ 5,999","₦ 12,000",Ladies Everything Simple Cheap Ladies Shoes - Women's Flat Canvas - White
3 out of 5(1),3 out of 5,,"₦ 22,500",,Black Lace-up Classy Loafers Shoe
5 out of 5(2),5 out of 5,10%,"₦ 54,000","₦ 60,000",Clarks Original Clarks Coperate Shoe
5 out of 5(1),5 out of 5,,"₦ 45,000",,Bms Buckle My Shoe Boys School Shoes Comfort
,,23%,"₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
,,45%,"₦ 23,655 - ₦ 46,113","₦ 43,332 - ₦ 76,143",Mens Suede Martin Brock Boot Bullock Formal Dress Shoes Leather Shoes Black
2 out of 5(1),2 out of 5,25%,"₦ 5,999","₦ 8,000",New Casual Boy's Sneakers Shoes - White
,,61%,"₦ 40,900","₦ 104,500",Flangesio Trekking Hiking Shoes Men's Fashion Sneakers EUR Size 36-47 Non-Slip Breathable Climbing Mountain Shoes Male Ultra-Cool Outdoor Desert Training Sneakers Tactical Combat Shoes Quick-dry Water Shoes Black
,,50%,"₦ 34,420 - ₦ 35,871","₦ 68,840 - ₦ 71,742",Men's Breathable Basketball Sneakers Trend Boy's Basketball Shoes Hight Cut Outdoor BasketBall Shoes For Men Shoes
,,11%,"₦ 8,000","₦ 9,000",Mens White Palm Slippers
,,49%,"₦ 42,400 - ₦ 45,400","₦ 75,800 - ₦ 82,500",Italian Mens Leather Shoes Luxury Dress Shoes Men Wedding Shoes Brown
4 out of 5(50),4 out of 5,,"₦ 6,300 - ₦ 8,500",,Children Outdoor Sneakers Shoe -White
,,,"₦ 60,000",,Robert Wood Roberts Buckle  Shoe
,,35%,"₦ 30,768 - ₦ 33,000","₦ 47,268",Formal Shoes Mens Half Shoes Casual Loafers Sandals Black
,,34%,"₦ 17,800","₦ 26,800",Boys Shoes Children Leather Loafers-Black
5 out of 5(1),5 out of 5,21%,"₦ 11,500","₦ 14,500",School Girls Leather Shoes
5 out of 5(1),5 out of 5,46%,"₦ 6,500","₦ 12,000",Black Covered Slip-on Pam Slippers- With Centre Openings
5 out of 5(2),5 out of 5,,"₦ 64,999",,Under Armour Armour Mojo 2 Runners Mens
,,45%,"₦ 46,000","₦ 83,636",XCST-BNZHO EUR Size 38-46 Men's Business Formal Shoes Brown Luxury High Quality Men's Office Party Male Social Shoes Italian Style Full Grain Leather Men's Oxford Wedding Dress Shoes Lace-up Handmade Flats Footwear
,,,"₦ 6,500",,Girl Back To School Shoes
,,55%,"₦ 17,000","₦ 38,000",Luca Men’s Glossy Cooperate Shoe
,,28%,"₦ 46,894","₦ 65,000",Big Size 38-48 Mens Formal Shoes Brock Classic Oxford Shoes Wedding Shoes Black
,,,"₦ 8,999",,Girls' Luxury Flat Palm Slippers
,,52%,"₦ 23,990 - ₦ 30,990","₦ 50,379 - ₦ 65,079",Kid's Basketball Shoes Non-slip High-top Sneakers-White Gold
,,78%,"₦ 15,500","₦ 70,000",Shiny Shoe
5 out of 5(2),5 out of 5,70%,"₦ 22,638","₦ 75,460",ADIDAS Originals Sneakers Kids Campus J
,,,"₦ 13,980",,Oliveria lan Ladies Boyfriend  Shoe -black
3.5 out of 5(2),3.5 out of 5,,"₦ 6,500",,Leather Children's Sport Casual Comfortable Unisex School Sneakers Shoe-Black
4.3 out of 5(7),4.3 out of 5,,"₦ 13,000 - ₦ 14,500",,SPORT Men Football Strong Soccer Boots Black
,,41%,"₦ 42,570","₦ 72,000",2021 New Men's Damping Running Shoes Breathable Sneaker
,,18%,"₦ 15,500","₦ 19,000",ANDARINA Quality Ladies Italian Shoes /Gold Colour
1 out of 5(1),1 out of 5,8%,"₦ 55,000","₦ 60,000",Clarks Corporate Men's Shoes - Black
4.5 out of 5(2),4.5 out of 5,,"₦ 39,000",,Wooden Shoe Rack - 7Tier
1 out of 5(1),1 out of 5,13%,"₦ 6,500","₦ 7,500",Back To School Children Unisex Shoes
,,11%,"₦ 50,000 - ₦ 55,000","₦ 56,000 - ₦ 60,000",Clarks Patent Leather Shoes
4 out of 5(1),4 out of 5,50%,"₦ 30,315 - ₦ 32,345","₦ 60,630 - ₦ 64,690",New Men's Cozy Damping Running Cushion Shoes Fashion Breathable Sneaker
,,28%,"₦ 47,070 - ₦ 48,420","₦ 64,200 - ₦ 66,900",2022 Men's Low Top Football Shoes Male Soccer Boots Sneakers
,,52%,"₦ 25,990 - ₦ 34,990","₦ 54,579 - ₦ 73,479",Children's Outdoor Non-slip Leather Martin Boots Hiking Boots-Black
,,22%,"₦ 12,950","₦ 16,500",Kid Boys Formal Smart Slip On Faux Leather Shoes-Black
,,,"₦ 50,000",,Executive Men's  Shoe
5 out of 5(1),5 out of 5,60%,"₦ 16,000 - ₦ 20,000","₦ 40,000",Mens Formal Half Shoes Party Footwear-White
4.5 out of 5(14),4.5 out of 5,13%,"₦ 17,500","₦ 20,096",Boys Oxford Children PU Leather Shoes-Black
,,,"₦ 25,000",,Sports Nassa Football Boot Gray
5 out of 5(2),5 out of 5,45%,"₦ 8,500 - ₦ 28,500","₦ 15,500 - ₦ 40,500",2-Way Unisex Adjustable Shoe Stretcher Shoe Expander WITH ACCESSERIES
,,41%,"₦ 33,886 - ₦ 35,226","₦ 57,142",Luxury Italian Men Shoes Top Quality Gold Leather Wedding Shoes Exquisite Tassel Men Office Shoes
,,60%,"₦ 50,000","₦ 125,000",Flangesio EUR Size 38-46 Business Formal Shoes For Men Handmade Calf Leather Oxfords Shoes Luxury Italian Style Male Dress Shoes Lace-up Soft Office Banquet Flats Shoes Groom Wedding Shoes Brown
,,,"₦ 5,000",,Children's Sport Casual Comfortable Sneakers Shoe
4 out of 5(2),4 out of 5,,"₦ 4,500",,Back To School Black Canvas
5 out of 5(2),5 out of 5,,"₦ 7,499 - ₦ 7,599",,Baby Unisex Sandals
,,45%,"₦ 10,999","₦ 20,000",Ladies Everything Ladies Fancy Comfortable Easy Wear Sneakers Activity Fashion -size
,,,"₦ 5,000",,Beautiful Children Girl Boy Flat Sandals
4.5 out of 5(11),4.5 out of 5,,"₦ 6,000 - ₦ 7,000",,Girls Original Glittering School Shoes With Socks - Black
,,50%,"₦ 31,073","₦ 62,146",Men's Business Style Pointed Leather Shoes—Black
,,44%,"₦ 29,300 - ₦ 39,800","₦ 52,000",Men Cleats Soccer Shoes Fashion Football Boots Long Short Studs FG TF Sneakers
,,50%,"₦ 25,000","₦ 50,000",Men's New Fashion Breathable Leather Shoes -black
4.3 out of 5(3),4.3 out of 5,38%,"₦ 42,200","₦ 67,520",Big Size Leather Mens Flat Shoes Outdoor Hiking Casual Shoes Brown
,,50%,"₦ 35,000","₦ 70,000",Children's Sports Shoes 2022 Spring Boys Casual Shoes Girls Sneakers Black
,,8%,"₦ 10,999","₦ 12,000",Female Shiny Bow-tie Trendy Shoe - Black
,,38%,"₦ 40,000","₦ 65,000",Berluti Executive New Clark  Casuasl& Fashionable Sneakers
5 out of 5(1),5 out of 5,,"₦ 9,500",,BLACK SMART MEN SNEAKER
3 out of 5(1),3 out of 5,36%,"₦ 37,000","₦ 57,524",Men's Italian Plus Size Smooth Leather Shoes Black
4.3 out of 5(6),4.3 out of 5,60%,"₦ 11,500 - ₦ 28,500","₦ 28,500",Varrati Men Formal Corporate Oxford Office Shoe With Mat Shoe [MAT]- Black
4.3 out of 5(10),4.3 out of 5,21%,"₦ 15,500","₦ 19,500",Classy Boys Church Shoes Party Shoes-Black
,,60%,"₦ 27,608","₦ 69,020",ADIDAS Performance Football Shoes Kids Nemeziz 18.3 In J
4 out of 5(1),4 out of 5,50%,"₦ 20,888 - ₦ 20,982","₦ 41,776 - ₦ 41,964",Children's Girls Fashion Sandals Summer New Pink
3 out of 5(2),3 out of 5,49%,"₦ 39,421","₦ 77,296",Mens Casual Genuine Leather Flat Loafers Driving Shoes Brown
,,,"₦ 45,000",,Renato Dulbecc Male Quality Renato Dulbecc
3.8 out of 5(11),3.8 out of 5,42%,"₦ 6,999","₦ 11,999",Men's Black Fashion Sneakers - Lace Up
,,32%,"₦ 43,904","₦ 65,000",Mens Platform Lace-up Formal Shoes Brock Classic Oxford Shoes Banquet Dress Footwear Black
3 out of 5(1),3 out of 5,25%,"₦ 14,999 - ₦ 15,500","₦ 20,000",Mens Formal Half Shoes Party Footwear-Brown
,,53%,"₦ 39,330 - ₦ 41,067","₦ 81,250 - ₦ 84,500",Men's Formal Shoes Breathable Soft Leather Handmade Office Business Wedding Shoes Dress Shoes White
,,23%,"₦ 33,990","₦ 43,990",Men Soccer Shoes High Ankle Football Boots Men Sneakers
,,25%,"₦ 15,000","₦ 20,000",Men's Casual Half Shoes Party Footwear-Black
,,,"₦ 60,000",,Robert Wood The Wood   Leather Shoe
,,68%,"₦ 8,999","₦ 28,000",Men'S Simple Casual Men's Comfortable Brighton Sneaker Canvas - Easywear Shoe
4 out of 5(1),4 out of 5,,"₦ 60,000",,Black Steve Work Shoe
4.7 out of 5(3),4.7 out of 5,38%,"₦ 40,600","₦ 64,960",Pig Size Men Oxfords Shoes Carved Brogue Shoes Business Formal Bullock Shoes Brown
,,,"₦ 13,000",,Magnificent Half Shoe
,,44%,"₦ 4,999","₦ 9,000",Rising Star Infant Baby Boy Shoes Size 2 (6-9)M
,,37%,"₦ 18,700","₦ 29,800",Vangelo DOUBLE BUKKLE CRACK DESIGNERS SHOE BLACK
,,48%,"₦ 6,500","₦ 12,500","Non Marking 4 Pairs (xs,s,m,L) Of Transparent Stiletto Heel Protector"
,,15%,"₦ 35,560","₦ 41,910",Boys Basketball Shoes Kids Running Basketball Shoes Black
,,48%,"₦ 30,795","₦ 59,775",Men's Fashion Casual Leather Shoes Formal Shoes
,,50%,"₦ 31,800","₦ 63,500",Unisex Basketball Shoes Kids Sports Shoes
,,50%,"₦ 50,895","₦ 101,850",Men's Fashion Toe Half Toe Shoes
,,68%,"₦ 8,999","₦ 28,000",Black Women's Brighton Sneaker Canvas - Outdoor Simple Casual Shoes
,,45%,"₦ 21,500","₦ 39,000",Depally New Designers Men Bukkle Suede Shoe Black
5 out of 5(1),5 out of 5,11%,"₦ 16,000","₦ 18,000",Hat Bag & Shoe Rack ( For Bags And Shoes)
,,50%,"₦ 24,600","₦ 49,100",Men's Casual Slip-on Leather Shoes
4.5 out of 5(2),4.5 out of 5,17%,"₦ 11,200","₦ 13,500",Unisex White Sneakers
4 out of 5(2),4 out of 5,54%,"₦ 5,499 - ₦ 5,999","₦ 8,999 - ₦ 12,000",Sturdy Girls Durable School Shoe Black
,,48%,"₦ 17,500","₦ 33,700",Depally NEW SHINING BARGE DESIGNERS SHOE BLACK
4 out of 5(4),4 out of 5,38%,"₦ 40,300","₦ 64,480",Big Size Men Glossy Tassel Brogue Leather Shoes-black
,,48%,"₦ 14,800","₦ 28,700",Escape Men TRAINNERS Boots Grey
,,,"₦ 6,500",,Unisex Casual Smart Leather Sandal
,,24%,"₦ 52,000","₦ 68,000",Men Leather Shoes Lace Up Pointed Toe Sneakers Business Suits Man Footwear
4 out of 5(1),4 out of 5,50%,"₦ 17,700","₦ 35,500",Vangelo BIG MEN CONFIRM STONE  Wedding BLACK  Shoes 45
,,,"₦ 4,500",,Children's Cartoon Character  Crocs
4.5 out of 5(2),4.5 out of 5,26%,"₦ 35,444 - ₦ 35,445","₦ 48,150",Large Size Shoes Half Slippers Leather Shoes Leather Shoes Cover Feet 38-47
,,50%,"₦ 5,950","₦ 12,000",Men's Cross Black Palm Slippers
,,50%,"₦ 4,999 - ₦ 5,999","₦ 10,000","Children Cartoon Slippers,yellow"
,,38%,"₦ 24,999","₦ 40,000",Men'S Trendy Men's Shoe - Black Office Cooperate Shoe - Formal Shoe + Shoe Box
5 out of 5(1),5 out of 5,,"₦ 8,999",,Girls Bow Shimmer Glitter Shinning Christmas Party Birthday Flat Shoe -Silver
4 out of 5(1),4 out of 5,32%,"₦ 5,800","₦ 8,500",Dunnes Baby Aqua Sneakers Shoe
,,,"₦ 30,000",,Quality Children Sandals For Girls_ Black
5 out of 5(1),5 out of 5,,"₦ 7,500",,Children Sport School Shoe -White
,,50%,"₦ 8,999","₦ 18,000",Fresh Men's Brighton Sneaker Canvas - Shoe
,,,"₦ 11,000",,SPORT Men Black Soccer Football Boot
4.5 out of 5(4),4.5 out of 5,51%,"₦ 35,500 - ₦ 37,300","₦ 72,000",Mens Business Shoes Office Formal Shoes Dress Footwear-Black
,,,"₦ 9,941",,Unique Trendy Kids Fashion Sneakers
,,38%,"₦ 33,872 - ₦ 34,972","₦ 54,240 - ₦ 56,000",Men's Leather Oxford Brogue Wingtip Dress Shoes - Formal & Native Wears Gold
3 out of 5(1),3 out of 5,45%,"₦ 18,500 - ₦ 18,600","₦ 33,700",Vangelo VANGEL CLASSIC CRACK  DESIGNERS SHOE BLACK
,,,"₦ 7,699",,Baby Girl  Sandals
,,,"₦ 8,599",,Baby Girl Soft  Soled Shoe With Flower Bow
4.5 out of 5(4),4.5 out of 5,41%,"₦ 28,500","₦ 48,000",Men's Cozy Damping Running Shoes Fashion Breathable Sneaker
,,40%,"₦ 35,446 - ₦ 43,961","₦ 53,918 - ₦ 70,390",Men's Italian Plus Size Smooth Leather Shoes Black
,,,"₦ 5,500",,Boys And Girls Unisex Flat Shoe Sneakers-black
,,50%,"₦ 19,000","₦ 37,900",Men's Breathable Business Leather Shoes
,,,"₦ 22,999",,"Rack, Cloth Hanger And Storage"
,,28%,"₦ 42,242","₦ 59,000",Italian Mens Leather Shoes Luxury Dress Shoes Men High Quality Office Shoes Man Wedding Shoes Brown
,,42%,"₦ 32,230","₦ 55,569",Kids Led Sandals Light Up Children Summer Shoes Glowing Sport Sandals For Boys And Girls Flashing Soft Beach Shoes For Toddler White
,,,"₦ 4,500",,Children's Cartoon Character Slide Slippers
,,31%,"₦ 35,799","₦ 51,799",Men's Breathable Comfort Leather Shoes
,,,"₦ 3,500",,Children's Cartoon Character Slippers
5 out of 5(1),5 out of 5,42%,"₦ 35,000","₦ 60,000",Outdoor Protective Durable Steel Toe Safety Shoe
,,48%,"₦ 31,055","₦ 59,510",Men's Italian Plus Size Smooth Leather Shoes Black
,,12%,"₦ 64,890","₦ 73,990",Safety Shoes Steel Toe Work Boots Breathable Fabric Upper
3 out of 5(1),3 out of 5,66%,"₦ 24,950","₦ 73,620",2022 Men's New Business Working Leather Shoes-Black
,,50%,"₦ 36,443 - ₦ 39,163","₦ 72,886 - ₦ 78,326",New Men's Cozy Damping Running Cushion Shoes Fashion Breathable Sneaker
,,,"₦ 9,499",,Toddler Soft Sole Canvas Anti-Slip Shoes
,,,"₦ 13,000 - ₦ 27,000",,Safety Rainboot
,,,"₦ 14,500",,Kids Girls Lovely Multicolour Sandals
,,50%,"₦ 5,999","₦ 12,000",Ladies Everything Ladies Simple Outdoors Jogging Sneakers - Casual Shoes - Easy Wear Canvas
,,44%,"₦ 28,450","₦ 50,900",Children's New Casual Shoes Color Diamond Bow Sandals
,,61%,"₦ 37,800 - ₦ 39,800","₦ 96,750 - ₦ 101,750",Flangesio New Arrival Hiking Shoes Men Sneakers EUR Size 39-49 Outdoor Mountain Climbing Shoes High Quality Male Sport Trekking Sneakers Suede Leather Combat Desert Training Shoes Wear-resistant Work Sneakers Khaki
,,50%,"₦ 26,257 - ₦ 32,392","₦ 52,514 - ₦ 64,784",Mens Leather Moccasins Casual Flats Shoes Size 38-47-Black
,,8%,"₦ 49,998 - ₦ 54,012","₦ 54,456",2022 Leather Men Shoes Retro Casual Formal Men Italian Male Dress Shoes 182f
5 out of 5(1),5 out of 5,50%,"₦ 27,110","₦ 54,220",Boys' Casual Running Children's Sports Basketball Thick Bottom Mid Shoes White
4.7 out of 5(3),4.7 out of 5,,"₦ 55,950",,"Safety Jogger FITZ S1P LIGHTWEIGHT SAFETY SHOE, SAFETY BOOT"
4.2 out of 5(22),4.2 out of 5,48%,"₦ 17,500","₦ 33,700",Depally NEW STAIGHT CHAIN DESIGNERS SHOE BLACK
,,41%,"₦ 17,590","₦ 29,800",Depally STONE TIE DESIGNER SHOE BLACK
,,41%,"₦ 17,590","₦ 29,800",Depally STONE TIE DESIGNER SHOE BLACK
4 out of 5(1),4 out of 5,,"₦ 10,499",,Baby Girl Soft  Soled Shoe With Flower Bow And Headbands
3.7 out of 5(3),3.7 out of 5,5%,"₦ 64,500 - ₦ 68,000","₦ 68,000",Clarks Executive New Clark Work Shoe
4.3 out of 5(7),4.3 out of 5,44%,"₦ 6,267","₦ 11,267",Shoes Soft Sole Crib For Newborn Baby-White
3.5 out of 5(2),3.5 out of 5,60%,"₦ 19,382","₦ 48,455",ADIDAS Core / Neo Sport Shoes Kids Vs Advantage Cl K
4 out of 5(1),4 out of 5,56%,"₦ 14,800","₦ 33,700",DEPALLY SUEDE FLOWER DESIGNERS SHOE BLACK
,,,"₦ 55,000",,Clarks Steve  Senior Shoe
3.8 out of 5(4),3.8 out of 5,58%,"₦ 12,500","₦ 30,000",Varrati New Men Luxury Italian Fashion Office Wedding Shoes - Black
,,,"₦ 6,500",,Black Smart Girl School Shoes
,,18%,"₦ 44,190","₦ 53,850",Men's Fashion Dress Shoes
5 out of 5(1),5 out of 5,,"₦ 31,500",,Crocs Literide Crocs Clog
,,25%,"₦ 3,000","₦ 4,000",Boy Crocs- Black
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
,,,"₦ 8,599",,Toddler Soft Sole Sneakers Anti-Slip Shoes
,,42%,"₦ 6,999","₦ 12,000",Young Adult Shoe -Men's 2023 Fashion Sneakers - Black
5 out of 5(2),5 out of 5,48%,"₦ 30,000","₦ 58,200",Clarks Sophisticated Men's Leather Clark Shoe- Blue
4 out of 5(2),4 out of 5,1%,"₦ 11,999","₦ 12,000",7-layer Shoe Rack Shelf With Fabric Cover
,,,"₦ 5,601",,Cartoon Newborn Baby Kids Toddler Anti-Slip Socks Slipper Home Crib Shoes Boots
4 out of 5(1),4 out of 5,45%,"₦ 45,200","₦ 82,182",XCST-BNZHO EU 38-45 High Quality Leather Dress Shoes Comfy Men Casual Shoes Business Work Office Shoes Lace-up
,,48%,"₦ 6,250","₦ 12,000",Men's Cross Black Palm Slippers
4 out of 5(2),4 out of 5,,"₦ 6,500",,Women Flat Shoe Ladies Office Shoe-brown
,,10%,"₦ 39,570","₦ 44,120",(White)Wedding Businness Men's Dress Shoes Comfortable Slip On Loafers Fashion Contracted Casual Flat Male Footwear Sapatênis Masculino ACU
,,58%,"₦ 15,800","₦ 38,000",New Arrival TRAINING Boots ORANGE
4 out of 5(1),4 out of 5,1%,"₦ 54,152","₦ 54,855",Men's Sports Shoes Hiking Shoes
,,39%,"₦ 17,580","₦ 28,700",Depally NEW BROGUE TIE DESIGNER SHOE BLACK
4.5 out of 5(6),4.5 out of 5,,"₦ 10,500",,Unique Trendy Kids Fashion Sneakers
,,45%,"₦ 18,400","₦ 33,500",Simba Confirm SIMBA COOL FOOTBALL  Boot BLACK
3 out of 5(2),3 out of 5,,"₦ 11,000",,SPORT Men Soccer Football Boot Black
5 out of 5(2),5 out of 5,,"₦ 38,999 - ₦ 49,999",,Clarks Black Men's Plain Casual Loafers
,,32%,"₦ 38,060","₦ 56,160",Casual Women's Single Shoes Round Toe Platform Casual Shoes Women's Shoes White
3.8 out of 5(6),3.8 out of 5,,"₦ 8,000",,Boys Black Easy Fasten Shoe 2 Straps
,,,"₦ 3,500",,1 Pair Female High-Heeled Shoe Foot Pad Thickening Invisible Paste Foot Pad
,,12%,"₦ 48,719","₦ 55,497",USB Charging Led Children Shoes Light Up Casual Boys&Girls Luminous Sneakers
,,,"₦ 8,599",,Luxury Baby  Boy Toddler's Soft Sole Anti Slip Shoes
1 out of 5(1),1 out of 5,25%,"₦ 15,000","₦ 20,000",Men's Casual Half Shoes Party Footwear-Black
3 out of 5(1),3 out of 5,,"₦ 6,000",,Boys Original Glittering School Shoes With Socks  - Black
5 out of 5(2),5 out of 5,,"₦ 26,790 - ₦ 42,486",,Soccer Shoes Indoor Long Short Spikes Football Boots Children 32-47
4.3 out of 5(7),4.3 out of 5,,"₦ 6,000",,Baby Boy Shoe Socks Set
3.5 out of 5(2),3.5 out of 5,39%,"₦ 21,756","₦ 35,933",Soft-soled Non-slip Leather Shoes-set Of Feet Brown
4.5 out of 5(2),4.5 out of 5,49%,"₦ 39,421","₦ 77,296",Mens Casual Genuine Leather Flat Loafers Driving Shoes Black
,,50%,"₦ 37,700","₦ 75,400",Flangesio Italian Handmade Mens Formal Shoes Slip On Calf Leather Oxfords Size 45 46 Top Quality Luxury Brogue Wedding Party Dress Shoes For Men Classic Style Leather Shoes Male Office Loafers Black
,,20%,"₦ 42,692","₦ 53,366",(Black)White Dress Shoes Mens Fashion Patent Leather Shoes For Men Tassel Black Mens Loafers Shoes Luxury Office 2023 Chaussure Homme ACU
5 out of 5(1),5 out of 5,31%,"₦ 13,524 - ₦ 15,290","₦ 19,499",Baby Girls Cute Summer Princess Sandals Toddler Kid Children Velcro Soft Shoes
,,40%,"₦ 29,000","₦ 48,333",Girls' Ballet Shoes Women's Dance Shoes
,,32%,"₦ 19,590","₦ 28,700",Vangelo CLASSIC C CHAIN  DESIGNER SHOE BLACK
,,,"₦ 7,000",,Unisex Children Blue Sneakers (Yellow Sole)
5 out of 5(1),5 out of 5,20%,"₦ 32,469","₦ 40,586",(Lace-up Yellow Linin)Dress Shoes Male Office Wedding Flats Footwear Business Faux Leather Shoes Men Breathable Rubber Formal Mocassin Homme JIN
,,,"₦ 32,000",,Hobos Big Boys/ Teens Lace Up Shoe School Shoes
,,52%,"₦ 5,999","₦ 12,499",Ladies Everything Ladies Outdoor Sport Shoes - Simple Comfortable Running Breathable - Red
,,50%,"₦ 35,300","₦ 70,500",Men's Shiny Leather Shoes
,,45%,"₦ 32,468","₦ 58,936",Girls Flat Shoes Children Fashion Leather Shoes-XHXL-A18 Black
5 out of 5(1),5 out of 5,15%,"₦ 60,390","₦ 70,990",Safety Boots Steel Toe Work Shoes Suede Leather Upper
,,,"₦ 11,500",,"Latest Female Design Shoe For Ladies,women-black"
,,41%,"₦ 4,700 - ₦ 5,700","₦ 8,000",Boys School Shoe
,,53%,"₦ 45,528 - ₦ 45,936","₦ 75,000 - ₦ 97,500",Mens Formal Shoes Half Shoes Casual Dress Footwear White
,,31%,"₦ 35,420","₦ 51,020",Men Soccer Shoes AG High Ankle Football Boots Men Sneakers
3 out of 5(2),3 out of 5,,"₦ 8,500",,Toddler Boys Baby Boys High Top Soft Bottom Shoes
3 out of 5(1),3 out of 5,42%,"₦ 59,190","₦ 102,051",Male Steel Toe Safety Boots  Man Work Safety Shoes Winter Anti-Smashing
5 out of 5(1),5 out of 5,68%,"₦ 9,500","₦ 30,000",Santiago 2023 New Tassel Italian Style Horsewip Shoe Design For Men - Coffee Brown
4.6 out of 5(5),4.6 out of 5,10%,"₦ 10,800","₦ 12,000",AKEDO Big Kids High Top Lace Sneakers
4.5 out of 5(2),4.5 out of 5,,"₦ 15,000",,9 Layers Shoe Rack With Fabric Cover
,,11%,"₦ 59,390","₦ 66,990",Safety Shoes Steel Toe Work Boots Breathable Fabric Upper
,,51%,"₦ 7,400","₦ 15,000",Cristal Shimmer Shoe Band
4 out of 5(1),4 out of 5,,"₦ 7,000",,Girls Black Dress And School Shoe
3.5 out of 5(2),3.5 out of 5,,"₦ 19,500",,Black Lace-up Classy Loafers Shoe
5 out of 5(1),5 out of 5,45%,"₦ 14,200","₦ 25,600",Varrati Mens Dress Italian Office Leather Wedding Shoes-Black
3 out of 5(1),3 out of 5,,"₦ 8,500",,Children Unisex Outdoor Sneakers Shoe
,,,"₦ 7,000",,Boys Casual Leather Sport Sandal
,,50%,"₦ 47,345","₦ 94,749",Men's Fashion Pointed Toe Shoes
5 out of 5(2),5 out of 5,20%,"₦ 54,500 - ₦ 55,500","₦ 58,000 - ₦ 68,000",Clarks Executive New Clark Lace Up Work Shoe
4.8 out of 5(5),4.8 out of 5,,"₦ 8,500",,George Girls Light Pink Shimmer Cat Ear Detail Sneakers
4 out of 5(2),4 out of 5,68%,"₦ 12,500","₦ 39,000",FOLLETEL Men Italian Royal Formal Office Dress Shoe - Black And Silver
,,50%,"₦ 27,526 - ₦ 27,699","₦ 55,052 - ₦ 55,398",Mens Suede Martin Brock Boot Bullock Formal Dress Shoes Leather Shoes Brown
3.3 out of 5(4),3.3 out of 5,,"₦ 6,300 - ₦ 8,500",,Children Sports Canvas Back To School Shoe Unisex - Black + Free Stockins
,,7%,"₦ 6,500","₦ 7,000",Addict 2 Fashion Unisex First Walk  Baby Shoe
,,52%,"₦ 34,790","₦ 73,090",New Business Formal Men's British Leather Shoes
,,30%,"₦ 29,946","₦ 42,510",New Children's Shoes Breathable Sport Sneakers
4.2 out of 5(9),4.2 out of 5,,"₦ 54,550 - ₦ 60,550",,"Safety Jogger Dakar Safety Shoe, Safety Boot"
2 out of 5(1),2 out of 5,,"₦ 19,000",,SPORT Locate Strong Men Football Boot
,,15%,"₦ 35,560","₦ 41,910",Soccer Boots Children's Training Studded Soccer Boots Gold
,,50%,"₦ 32,135 - ₦ 37,050","₦ 64,329 - ₦ 74,160",New Ubber Hight Cut  Outdoor BasketBall Shoes For Men Shoes
4.5 out of 5(4),4.5 out of 5,,"₦ 5,500 - ₦ 6,000",,Unisex Kids Sneakers -white
,,,"₦ 4,500",,Children's Cartoon Character  Crocs
4.3 out of 5(35),4.3 out of 5,47%,"₦ 9,000","₦ 17,000",DIGNIFYING CHILDREN SHOE-BLACK
